Company;Product;TypeName;Inches;Cpu;Ram;Memory;Gpu;Price
HP;17-ak001nv (A6-9220/4GB/500GB/Radeon;Notebook;17.3;AMD A6-Series 9220 2.5GHz;4GB;500GB HDD;AMD Radeon 530;39510,00
Dell;XPS 13;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;168210,00
Apple;MacBook Air;Ultrabook;13.3;Intel Core i5 1.6GHz;8GB;256GB Flash Storage;Intel HD Graphics 6000;89820,00
Lenovo;IdeaPad 120S-14IAP;Notebook;14;Intel Celeron Dual Core N3350 1.1GHz;4GB;64GB Flash Storage;Intel HD Graphics 500;22410,00
Acer;Aspire 3;Notebook;15.6;Intel Core i3 7130U 2.7GHz;4GB;1TB HDD;Intel HD Graphics 620;33030,00
Dell;Inspiron 5770;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;88110,00
HP;250 G6;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;43982,10
HP;ProBook 450;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce 930MX ;79110,00
Asus;X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux);Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 620;35010,00
Dell;Inspiron 7577;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;134910,00
Asus;X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Nvidia GeForce 940MX;47069,10
Acer;Aspire A515-51G;Notebook;15.6;Intel Core i5 8250U 1.6GHz;4GB;256GB SSD;Intel UHD Graphics 620;61380,00
Dell;Inspiron 7773;2 in 1 Convertible;17.3;Intel Core i5 8250U 1.6GHz;12GB;1TB HDD;Nvidia GeForce 150MX;89910,00
Apple;MacBook Pro;Ultrabook;13.3;Intel Core i5 2.0GHz;8GB;256GB SSD;Intel Iris Graphics 540;127710,00
Lenovo;IdeaPad 320-15ISK;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;33210,00
Asus;Rog Strix;Gaming;17.3;AMD Ryzen 1700 3GHz;8GB;256GB SSD +  1TB HDD;AMD Radeon RX 580;116910,00
Dell;Inspiron 3567;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;AMD Radeon R5 M430;57510,00
Asus;X751NV-TY001T (N4200/4GB/1TB/GeForce;Notebook;17.3;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Nvidia GeForce 920MX;41940,00
Lenovo;Yoga Book;2 in 1 Convertible;10.1;Intel Atom x5-Z8550 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics 400;28710,00
Acer;Aspire A515-51G;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce MX150;75690,00
HP;255 G6;Notebook;15.6;AMD A6-Series 9220 2.5GHz;4GB;256GB SSD;AMD Radeon R4 Graphics;35864,10
HP;ProBook 430;Notebook;13.3;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;99270,00
Acer;Aspire 3;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;1TB HDD;Intel HD Graphics 620;34560,00
Dell;Inspiron 3576;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 520;69102,00
HP;15-bs002nv (i3-6006U/4GB/128GB/FHD/W10);Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;39510,00
Asus;VivoBook Max;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;52757,10
MSI;GS73VR 7RG;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;220410,00
Asus;X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux);Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;256GB SSD;Intel HD Graphics 520;37350,00
Dell;Inspiron 5770;Notebook;17.3;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;116910,00
Dell;Vostro 5471;Ultrabook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;79110,00
Lenovo;IdeaPad 520S-14IKB;Notebook;14;Intel Core i3 7130U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;53910,00
Asus;UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10);Notebook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;84690,00
HP;250 G6;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;62100,00
Asus;ZenBook Pro;Ultrabook;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050 Ti;178470,00
HP;250 G6;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;AMD Radeon 520;39482,10
HP;Stream 14-AX040wm;Notebook;14;Intel Celeron Dual Core N3060 1.6GHz;4GB;32GB SSD;Intel HD Graphics 400;20610,00
Lenovo;V310-15ISK (i5-7200U/4GB/1TB/FHD/W10);Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;49410,00
Asus;FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;12GB;1TB HDD;Nvidia GeForce GTX 1050 Ti;85410,00
Microsoft;Surface Laptop;Ultrabook;13.5;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 620;98010,00
Dell;Inspiron 5370;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 530;85950,00
Dell;Inspiron 5570;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 530;78300,00
MSI;GL72M 7RDX;Gaming;17.3;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;98550,00
Acer;Aspire E5-475;Notebook;14;Intel Core i3 6006U 2GHz;8GB;1TB HDD;Intel HD Graphics 520;35010,00
Asus;FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;85410,00
Lenovo;IdeaPad 320-15IKBN;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;2TB HDD;Intel HD Graphics 620;46710,00
Dell;Inspiron 5570;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  1TB HDD;Intel UHD Graphics 620;76950,00
Acer;Aspire A515-51G-32MX;Notebook;15.6;Intel Core i3 7130U 2.7GHz;4GB;1TB HDD;Nvidia GeForce MX130;47700,00
HP;ProBook 470;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 930MX;87930,00
Dell;Latitude 5590;Ultrabook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;98654,40
Apple;"MacBook 12""";Ultrabook;12;Intel Core i5 1.3GHz;8GB;512GB SSD;Intel HD Graphics 615;135900,00
HP;ProBook 440;Notebook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel HD Graphics 620;77400,00
Lenovo;IdeaPad 320-15AST;Notebook;15.6;AMD A6-Series 9220 2.5GHz;4GB;128GB SSD;AMD R4 Graphics;35910,00
Acer;Aspire 3;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;1TB HDD;AMD Radeon R5;35550,00
Dell;Inspiron 7577;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;121410,00
HP;Pavilion 15-CK000nv;Ultrabook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 940MX;62910,00
HP;250 G6;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;53909,10
Asus;FX503VM-E4007T (i7-7700HQ/16GB/1TB;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;130410,00
Dell;XPS 13;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;148410,00
Asus;FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon;Gaming;15.6;AMD FX 9830P 3GHz;8GB;1TB HDD;AMD Radeon RX 560;62910,00
Acer;Aspire 5;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Nvidia GeForce MX150;62010,00
HP;Probook 430;Notebook;13.3;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;107730,00
Dell;Inspiron 7577;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1060;107550,00
Asus;Zenbook UX430UA;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;94410,00
Acer;Spin 5;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;76230,00
Dell;Inspiron 3567;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon R5 M430;53991,00
Dell;Inspiron 3567;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 M430;43650,00
Asus;X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce;Notebook;15.6;Intel Core i3 7100U 2.4GHz;6GB;256GB SSD;Nvidia GeForce 920M;51930,00
HP;Omen 15-ce007nv;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;12GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;112410,00
HP;15-bs017nv (i7-7500U/8GB/256GB/Radeon;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon 530;64710,00
HP;15-bw000nv (E2-9000e/4GB/500GB/Radeon;Notebook;15.6;AMD E-Series E2-9000e 1.5GHz;4GB;500GB HDD;AMD Radeon R2;31410,00
Dell;Inspiron 3576;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;AMD Radeon 520;58230,00
HP;Envy 13-ad009n;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce MX150;100710,00
Microsoft;Surface Laptop;Ultrabook;13.5;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;120600,00
HP;Pavilion 14-BK001nv;Notebook;14;Intel Core i5 7200U 2.5GHz;6GB;256GB SSD;Nvidia GeForce 940MX;59310,00
Lenovo;Ideapad 310-15ISK;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;37341,00
Asus;UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 940MX;107370,00
MSI;GP62M 7REX;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;116910,00
Lenovo;Thinkpad T470;Notebook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;133200,00
Asus;VivoBook S15;Ultrabook;15.6;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce MX150;113580,00
Dell;XPS 13;Ultrabook;13.3;Intel Core i7 7560U 2.4GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;124110,00
Lenovo;ThinkPad Yoga;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;125910,00
HP;Probook 440;Notebook;14;Intel Core i5 8250U 1.6GHz;4GB;500GB HDD;Intel UHD Graphics 620;64980,00
Dell;XPS 13;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;146610,00
HP;Spectre x360;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;125909,10
HP;Probook 440;Notebook;14;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;97560,00
Dell;Inspiron 7570;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce 940MX;101729,70
Asus;X705UV-BX074T (i3-6006U/4GB/1TB/GeForce;Notebook;17.3;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Nvidia GeForce 920MX;50760,00
Asus;VivoBook S15;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce 940MX;100620,00
Acer;Spin 3;Notebook;15.6;Intel Core i3 7100U 2.4GHz;6GB;1TB HDD;Intel HD Graphics 620;43110,00
MSI;GS63VR 7RG;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;201735,00
Lenovo;IdeaPad 320-15IKBN;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 940MX;56610,00
HP;Probook 470;Notebook;17.3;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Nvidia GeForce 930MX ;114390,00
Acer;Aspire 3;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;256GB SSD;AMD Radeon R5;40590,00
HP;250 G6;Notebook;15.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;500GB HDD;Intel HD Graphics 400;23310,00
HP;Probook 440;Notebook;14;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Intel UHD Graphics 620;73080,00
Asus;E402WA-GA007T (E2-6110/4GB/64GB/W10;Notebook;14;AMD E-Series 6110 1.5GHz;4GB;64GB SSD;AMD Radeon R2;25019,10
Dell;Inspiron 5770;Notebook;17.3;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;125640,00
HP;ProBook 470;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;83520,00
Dell;Inspiron 5567;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;AMD Radeon R7 M445;57509,10
Dell;Inspiron 3567;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon R5 M430;40410,00
Acer;Swift 3;Ultrabook;14;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;79560,00
Acer;Aspire A515-51G-37JS;Notebook;15.6;Intel Core i3 7130U 2.7GHz;4GB;256GB SSD;Nvidia GeForce MX130;51480,00
HP;15-BS078nr (i7-7500U/8GB/1TB/W10);Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Intel HD Graphics 620;53820,00
HP;Probook 440;Notebook;14;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;88920,00
Lenovo;V110-15IAP (N3350/4GB/1TB/No;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;22712,40
Asus;FX753VD-GC086T (i5-7300HQ/8GB/1TB;Gaming;17.3;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;84420,00
Lenovo;IdeaPad 320-15IKBN;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Nvidia GeForce 920MX;44910,00
HP;Envy 13-AD007nv;Notebook;13.3;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;62910,00
Acer;Aspire 5;Notebook;17.3;Intel Core i3 7130U 2.7GHz;4GB;1TB HDD;Nvidia GeForce MX130;58950,00
Lenovo;ThinkPad E480;Notebook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;AMD Radeon RX 550;100441,80
Lenovo;Legion Y520-15IKBN;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050M;78210,00
Toshiba;Satellite Pro;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;54180,00
HP;255 G6;Notebook;15.6;AMD A6-Series 9220 2.5GHz;4GB;256GB SSD;AMD Radeon R4 Graphics;33210,00
Asus;ZenBook UX430UA;Ultrabook;14;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;98910,00
HP;EliteBook Folio;Ultrabook;12.5;Intel Core M 6Y75 1.2GHz;8GB;512GB SSD;Intel HD Graphics 515;181260,00
Asus;X541NA (N3350/4GB/1TB/FHD/W10);Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;30960,00
MSI;GE72MVR 7RG;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;182610,00
Acer;Aspire A315-51;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;40230,00
Dell;Inspiron 5577;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050;112433,40
Dell;Inspiron 7567;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;1.0TB Hybrid;Nvidia GeForce GTX 1050;80910,00
Lenovo;V110-15IKB (i5-7200U/4GB/128GB/W10);Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 620;44820,00
MSI;GE73VR 7RE;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;170100,00
HP;EliteBook 840;Ultrabook;14;Intel Core i5 7500U 2.7GHz;4GB;256GB SSD;Intel HD Graphics 620;97380,00
HP;15-BS103nv (i5-8250U/6GB/256GB/Radeon;Notebook;15.6;Intel Core i5 8250U 1.6GHz;6GB;256GB SSD;AMD Radeon 520;55710,00
Lenovo;Yoga 520-14IKB;2 in 1 Convertible;14;Intel Core i3 7100U 2.4GHz;4GB;256GB SSD;Intel HD Graphics 620;56610,00
Asus;ZenBook Flip;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel HD Graphics 620;118350,00
Dell;Inspiron 5579;2 in 1 Convertible;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;94410,00
Toshiba;Satellite Pro;Notebook;15.6;Intel Core i3 6006U 2.2GHz;4GB;500GB HDD;Intel HD Graphics 520;40230,00
Asus;X555BP-XX180T (A9-9420/4GB/1TB/Radeon;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;1TB HDD;AMD Radeon R5 M420;36270,00
Acer;Aspire A517-51G;Notebook;17.3;Intel Core i5 8250U 1.6GHz;4GB;256GB SSD;Nvidia GeForce MX150;72450,00
Dell;Inspiron 3576;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;AMD Radeon 520;65520,00
Lenovo;Legion Y520-15IKBN;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD;Nvidia GeForce GTX 1050 Ti;97110,00
Acer;Aspire A315-31;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;31320,00
MSI;GE63VR 7RE;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;161910,00
Acer;Aspire 3;Notebook;15.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Intel HD Graphics 505;32715,90
Dell;Inspiron 5577;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;95444,10
Acer;Aspire A517-51G;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce MX150;76860,00
HP;ProBook 430;Notebook;13.3;Intel Core i5 8250U 1.6GHz;4GB;500GB HDD;Intel UHD Graphics 620;67860,00
Huawei;MateBook X;Ultrabook;13;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;121410,00
HP;17-bs001nv (i5-7200U/6GB/2TB/Radeon;Notebook;17.3;Intel Core i5 7200U 2.5GHz;6GB;2TB HDD;AMD Radeon 520;62910,00
Lenovo;IdeaPad 320-15AST;Notebook;15.6;AMD A6-Series 9220 2.9GHz;4GB;500GB HDD;AMD Radeon R4 Graphics;27810,00
Toshiba;Satellite Pro;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;500GB HDD;Intel HD Graphics 620;44010,00
HP;ProBook 470;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce 930MX;83070,00
Dell;Inspiron 3567;Notebook;15.6;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Intel HD Graphics 620;41310,00
Acer;Aspire A315-51;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;40410,00
MSI;GT80S 6QF-074US;Gaming;18.4;Intel Core i7 6920HQ 2.9GHz;32GB;512GB SSD +  1TB HDD;Nvidia GTX 980 SLI;251910,00
Lenovo;V310-15IKB (i5-7200U/8GB/1TB;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD +  1TB HDD;AMD R17M-M1-70;73170,00
HP;Spectre x360;2 in 1 Convertible;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;134910,00
Dell;Inspiron 5570;Notebook;15.6;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;94410,00
Dell;XPS 13;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;125910,00
Lenovo;Yoga 920-13IKB;2 in 1 Convertible;13.9;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;166410,00
Toshiba;Satellite Pro;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD;Intel HD Graphics 620;71370,00
Xiaomi;Mi Notebook;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce MX150;107910,00
Dell;Inspiron 7773;Notebook;17.3;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Nvidia GeForce 150MX;139410,00
